sello,sello,ratio,ruta
no_seal,"Viceconsulado Imp de Rusia",0.0458811261731,C:/Users/usuario/Desktop/Document/1883-L119.M29/38
no_seal,"Viceconsulado Imp de Rusia",0.0407725321888,C:/Users/usuario/Desktop/Document/1883-L119.M29/39
no_seal,"Viceconsulado Imp de Rusia",0.194244604317,C:/Users/usuario/Desktop/Document/1883-L119.M29/40
no_seal,"Viceconsulado Imp de Rusia",0.141486810552,C:/Users/usuario/Desktop/Document/1883-L119.M29/41
no_seal,"Viceconsulado Imp de Rusia",0.07034372502,C:/Users/usuario/Desktop/Document/1883-L119.M29/42
"O con T",MSA,0.622317596567,C:/Users/usuario/Desktop/Document/1883-L119.M29/43
no_seal,"Viceconsulado Imp de Rusia",0.0807354116707,C:/Users/usuario/Desktop/Document/1883-L119.M29/44
no_seal,"Viceconsulado Imp de Rusia",0.041782729805,C:/Users/usuario/Desktop/Document/1883-L119.M29/45
no_seal,"Viceconsulado Imp de Rusia",0.0974930362117,C:/Users/usuario/Desktop/Document/1883-L119.M29/46
no_seal,"Viceconsulado Imp de Rusia",0.0439648281375,C:/Users/usuario/Desktop/Document/1883-L119.M29/47
no_seal,"Viceconsulado Imp de Rusia",0.0887290167866,C:/Users/usuario/Desktop/Document/1883-L119.M29/48
no_seal,"Viceconsulado Imp de Rusia",0.0343546889508,C:/Users/usuario/Desktop/Document/1883-L119.M29/49
no_seal,"Viceconsulado Imp de Rusia",0.0562130177515,C:/Users/usuario/Desktop/Document/1883-L119.M29/50
no_seal,"Viceconsulado Imp de Rusia",0.0352831940576,C:/Users/usuario/Desktop/Document/1883-L119.M29/51
no_seal,"Viceconsulado Imp de Rusia",0.0659238625812,C:/Users/usuario/Desktop/Document/1883-L119.M29/52
no_seal,"Viceconsulado Imp de Rusia",0.0386266094421,C:/Users/usuario/Desktop/Document/1883-L119.M29/53
no_seal,"Viceconsulado Imp de Rusia",0.0603528319406,C:/Users/usuario/Desktop/Document/1883-L119.M29/54
no_seal,"Viceconsulado Imp de Rusia",0.187050359712,C:/Users/usuario/Desktop/Document/1883-L119.M29/55
no_seal,"Viceconsulado Imp de Rusia",0.0394736842105,C:/Users/usuario/Desktop/Document/1883-L119.M29/56
no_seal,"Viceconsulado Imp de Rusia",0.0551558752998,C:/Users/usuario/Desktop/Document/1883-L119.M29/57
no_seal,"Viceconsulado Imp de Rusia",0.0578947368421,C:/Users/usuario/Desktop/Document/1883-L119.M29/58
no_seal,"Viceconsulado Imp de Rusia",0.0355263157895,C:/Users/usuario/Desktop/Document/1883-L119.M29/59
no_seal,"Viceconsulado Imp de Rusia",0.0891364902507,C:/Users/usuario/Desktop/Document/1883-L119.M29/60
no_seal,"Viceconsulado Imp de Rusia",0.0535571542766,C:/Users/usuario/Desktop/Document/1883-L119.M29/61
no_seal,"Viceconsulado Imp de Rusia",0.0959232613909,C:/Users/usuario/Desktop/Document/1883-L119.M29/62
no_seal,"Viceconsulado Imp de Rusia",0.142286171063,C:/Users/usuario/Desktop/Document/1883-L119.M29/63
no_seal,"Viceconsulado Imp de Rusia",0.0232126276695,C:/Users/usuario/Desktop/Document/1883-L119.M29/64
no_seal,"Viceconsulado Imp de Rusia",0.0421052631579,C:/Users/usuario/Desktop/Document/1883-L119.M29/65
no_seal,"Viceconsulado Imp de Rusia",0.0337892196299,C:/Users/usuario/Desktop/Document/1883-L119.M29/66
no_seal,"Viceconsulado Imp de Rusia",0.0445682451253,C:/Users/usuario/Desktop/Document/1883-L119.M29/67
no_seal,"Viceconsulado Imp de Rusia",0.0759392486011,C:/Users/usuario/Desktop/Document/1883-L119.M29/68
no_seal,"Viceconsulado Imp de Rusia",0.0472103004292,C:/Users/usuario/Desktop/Document/1883-L119.M29/69
no_seal,"Viceconsulado Imp de Rusia",0.0455635491607,C:/Users/usuario/Desktop/Document/1883-L119.M29/70
no_seal,"Viceconsulado Imp de Rusia",0.0503597122302,C:/Users/usuario/Desktop/Document/1883-L119.M29/71
no_seal,"Viceconsulado Imp de Rusia",0.0649953574745,C:/Users/usuario/Desktop/Document/1883-L119.M29/72
no_seal,"Viceconsulado Imp de Rusia",0.0375699440448,C:/Users/usuario/Desktop/Document/1883-L119.M29/73
no_seal,"Viceconsulado Imp de Rusia",0.0431654676259,C:/Users/usuario/Desktop/Document/1883-L119.M29/74
no_seal,"Viceconsulado Imp de Rusia",0.0495603517186,C:/Users/usuario/Desktop/Document/1883-L119.M29/75
no_seal,"Viceconsulado Imp de Rusia",0.0599520383693,C:/Users/usuario/Desktop/Document/1883-L119.M29/76
no_seal,"Viceconsulado Imp de Rusia",0.0599520383693,C:/Users/usuario/Desktop/Document/1883-L119.M29/77
"O con T",MSA,0.995708154506,C:/Users/usuario/Desktop/Document/1883-L119.M29/78
no_seal,"Viceconsulado Imp de Rusia",0.109512390088,C:/Users/usuario/Desktop/Document/1883-L119.M29/8
no_seal,"Viceconsulado Imp de Rusia",0.0959232613909,C:/Users/usuario/Desktop/Document/1883-L119.M29/84
no_seal,"Viceconsulado Imp de Rusia",0.0213556174559,C:/Users/usuario/Desktop/Document/1883-L119.M29/90
"O con T",MSA,0.995708154506,C:/Users/usuario/Desktop/Document/1883-L119.M29/91
"Moneda O doble C",Grifos,0.91364902507,C:/Users/usuario/Desktop/Document/1884-L123.M18/145
no_seal,"Viceconsulado Imp de Rusia",0.0513209839053,C:/Users/usuario/Desktop/Document/1885_L128.M2/108
no_seal,"Viceconsulado Imp de Rusia",0.043795620438,C:/Users/usuario/Desktop/Document/1890-L10.M1/100
no_seal,"Viceconsulado Imp de Rusia",0.0783373301359,C:/Users/usuario/Desktop/Document/1890-L10.M1/101
no_seal,"Viceconsulado Imp de Rusia",0.0531803962461,C:/Users/usuario/Desktop/Document/1890-L10.M1/102
MSA,"Dedal MSE",0.932894736842,C:/Users/usuario/Desktop/Document/1890-L10.M1/103
no_seal,"Viceconsulado Imp de Rusia",0.0557103064067,C:/Users/usuario/Desktop/Document/1890-L10.M1/104
no_seal,"Viceconsulado Imp de Rusia",0.0631494804157,C:/Users/usuario/Desktop/Document/1890-L10.M1/105
no_seal,"Viceconsulado Imp de Rusia",0.0278969957082,C:/Users/usuario/Desktop/Document/1890-L10.M1/106
"Viceconsulado Imp de Rusia","O con T",0.308445532436,C:/Users/usuario/Desktop/Document/1890-L10.M1/112
no_seal,"Viceconsulado Imp de Rusia",0.0479616306954,C:/Users/usuario/Desktop/Document/1890-L10.M1/114
"Jorge Müller","Viceconsulado Imp de Rusia",0.0728868360277,C:/Users/usuario/Desktop/Document/1890-L10.M1/115
no_seal,"Viceconsulado Imp de Rusia",0.104921077066,C:/Users/usuario/Desktop/Document/1890-L10.M1/118
no_seal,"Viceconsulado Imp de Rusia",0.0564834497419,C:/Users/usuario/Desktop/Document/1890-L10.M1/119
no_seal,"Viceconsulado Imp de Rusia",0.0359712230216,C:/Users/usuario/Desktop/Document/1890-L10.M1/121
no_seal,"Viceconsulado Imp de Rusia",0.249400479616,C:/Users/usuario/Desktop/Document/1890-L10.M1/122
no_seal,"Viceconsulado Imp de Rusia",0.0937790157846,C:/Users/usuario/Desktop/Document/1890-L10.M1/123
no_seal,"Viceconsulado Imp de Rusia",0.03182374541,C:/Users/usuario/Desktop/Document/1890-L10.M1/124
no_seal,"Viceconsulado Imp de Rusia",0.0383693045564,C:/Users/usuario/Desktop/Document/1890-L10.M1/95
no_seal,"Viceconsulado Imp de Rusia",0.0431654676259,C:/Users/usuario/Desktop/Document/1890-L10.M1/98
no_seal,"Viceconsulado Imp de Rusia",0.0495603517186,C:/Users/usuario/Desktop/Document/1890-L10.M1/99
"OC Corona Diagonal","Oxforshire Infantry",0.923076923077,C:/Users/usuario/Desktop/Document/1890-L123.M21/144
no_seal,"Viceconsulado Imp de Rusia",0.0817084493965,C:/Users/usuario/Desktop/Document/2016_09_09/167
no_seal,"Viceconsulado Imp de Rusia",0.0724233983287,C:/Users/usuario/Desktop/Document/2016_09_09/168
no_seal,"Viceconsulado Imp de Rusia",0.0453808752026,C:/Users/usuario/Desktop/Document/2016_09_09/169
no_seal,"Viceconsulado Imp de Rusia",0.14548361311,C:/Users/usuario/Desktop/Document/2016_09_09/170
no_seal,"Viceconsulado Imp de Rusia",0.0463629096723,C:/Users/usuario/Desktop/Document/2016_09_09/171
no_seal,"Viceconsulado Imp de Rusia",0.0302398331595,C:/Users/usuario/Desktop/Document/2016_09_09/172
no_seal,"O T casi I",0.843547224225,C:/Users/usuario/Desktop/Document/2016_09_09/181
no_seal,"Viceconsulado Imp de Rusia",0.0495603517186,C:/Users/usuario/Desktop/Document/Hamburgo_L58M1_1869/110
no_seal,"Viceconsulado Imp de Rusia",0.0627253064167,C:/Users/usuario/Desktop/Document/L3-M.12/153
no_seal,"Viceconsulado Imp de Rusia",0.107913669065,C:/Users/usuario/Desktop/Document/L3-M.12/156
no_seal,"Viceconsulado Imp de Rusia",0.0615883306321,C:/Users/usuario/Desktop/Document/L3-M.12/157
no_seal,"Viceconsulado Imp de Rusia",0.0530973451327,C:/Users/usuario/Desktop/Document/L3-M.12/158
no_seal,"Viceconsulado Imp de Rusia",0.1126307321,C:/Users/usuario/Desktop/Document/L3-M.12/159
no_seal,"Viceconsulado Imp de Rusia",0.0474658085278,C:/Users/usuario/Desktop/Document/L3-M.12/161
no_seal,"Viceconsulado Imp de Rusia",0.0547063555913,C:/Users/usuario/Desktop/Document/L3-M.12/162
no_seal,"Viceconsulado Imp de Rusia",0.0623501199041,C:/Users/usuario/Desktop/Document/L3-M.12/163
no_seal,"Viceconsulado Imp de Rusia",0.0406673618352,C:/Users/usuario/Desktop/Document/L3-M.12/164
no_seal,"Viceconsulado Imp de Rusia",0.0388978930308,C:/Users/usuario/Desktop/Document/L3-M.12/165
no_seal,"Viceconsulado Imp de Rusia",0.144684252598,C:/Users/usuario/Desktop/Document/L_10M_3_Moreno_J_1892/148
no_seal,"Viceconsulado Imp de Rusia",0.0380687093779,C:/Users/usuario/Desktop/Document/L_10M_3_Moreno_J_1892/149
no_seal,"Viceconsulado Imp de Rusia",0.0381578947368,C:/Users/usuario/Desktop/Document/L_10M_3_Moreno_J_1892/150
no_seal,"Viceconsulado Imp de Rusia",0.03125,C:/Users/usuario/Desktop/Document/L_10M_3_Moreno_J_1892/151
no_seal,"Viceconsulado Imp de Rusia",0.0631494804157,C:/Users/usuario/Desktop/Document/L_10M_3_Moreno_J_1892/152
"Oxfordshire Infantry","O Doble C",0.870535714286,C:/Users/usuario/Desktop/Document/Malta_l58M1_1869/111
no_seal,"Viceconsulado Imp de Rusia",0.0563153660499,C:/Users/usuario/Desktop/Document/Montreal_L58M1_1869/113
no_seal,"Viceconsulado Imp de Rusia",0.0999200639488,C:/Users/usuario/Desktop/Document/NL/175
no_seal,"Viceconsulado Imp de Rusia",0.0551558752998,C:/Users/usuario/Desktop/Document/NL/177
no_seal,"Viceconsulado Imp de Rusia",0.0469238790407,C:/Users/usuario/Desktop/Document/NL/180
no_seal,"Viceconsulado Imp de Rusia",0.116706634692,C:/Users/usuario/Desktop/Document/Washington_Irving/176
no_seal,"Viceconsulado Imp de Rusia",0.0575539568345,C:/Users/usuario/Desktop/Document/Washington_Irving/178
no_seal,"Viceconsulado Imp de Rusia",0.0623501199041,C:/Users/usuario/Desktop/Document/Washington_Irving/179
no_seal,"Viceconsulado Imp de Rusia",0.041782729805,C:/Users/usuario/Desktop/Document/Washington_Irving/182
no_seal,"Viceconsulado Imp de Rusia",0.0575539568345,C:/Users/usuario/Desktop/Document/Washington_Irving/86
no_seal,"Viceconsulado Imp de Rusia",0.0447641886491,C:/Users/usuario/Desktop/Document/Washington_Irving/87
